"id_origem","client_id","client_id_dest","primeira_compra_boleto","ultima_compra_boleto","tot_compra_boleto","n_compra_boleto","boleto_from0to30","boleto_from30to60","boleto_from60to90","boleto_from90to120","boleto_from120to150","boleto_from150to180","boleto_from180mais","boleto_n_from0to30","boleto_n_from30to60","boleto_n_from60to90","boleto_n_from90to120","boleto_n_from120to150","boleto_n_from150to180","boleto_n_from180mais","primeira_compra_ted","ultima_compra_ted","tot_compra_ted","n_compra_ted","ted_from0to30","ted_from30to60","ted_from60to90","ted_from90to120","ted_from120to150","ted_from150to180","ted_from180mais","ted_n_from0to30","ted_n_from30to60","ted_n_from60to90","ted_n_from90to120","ted_n_from120to150","ted_n_from150to180","ted_n_from180mais","primeira_compra","ultima_compra","tot_compra","n_compra","blu_from0to30","blu_from30to60","blu_from60to90","blu_from90to120","blu_from120to150","blu_from150to180","blu_from180mais","blu_n_from0to30","blu_n_from30to60","blu_n_from60to90","blu_n_from90to120","blu_n_from120to150","blu_n_from150to180","blu_n_from180mais","total_balance","total_balance_rede","future_balance","future_balance_rede","current_balance","current_balance_rede","vendas_from0to30","vendas_from30to60","vendas_from60to90","vendas_from90to120","vendas_from120to150","vendas_from150to180","vendas_from180mais","vendas_n_from0to30","vendas_n_from30to60","vendas_n_from60to90","vendas_n_from90to120","vendas_n_from120to150","vendas_n_from150to180","vendas_n_from180mais","cpf_cnpj_loja","data_ganho"
48062,48062,42489,2020-07-31 13:30:22,2020-07-31 13:30:22,1024.4,1,1024.4,0,0,0,0,0,0,1024.4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12369.26,12369.26,3790.57,3790.57,8578.69439,8578.69439,41548,3790.6,0,0,0,0,0,183,10,0,0,0,0,0,"37321070000151",2020-06-25
31829,31829,10033,2019-12-17 15:22:36,2020-07-31 17:11:33,25783.21,3,5917.95,0,0,0,0,0,19865.26,5917.95,0,0,0,0,0,19865.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96627.89,230765.84,96627.89487,230765.85462,0,0,219331.93,279369.48,321172.98,182646.2,191081.17,249195.98,849909.31,1044,1115,1412,859,978,1306,4030,"08681774000137",2019-09-20
17047,16042,18052,2020-07-30 14:53:03,2020-07-31 12:39:44,29644.2,14,29644.2,0,0,0,0,0,0,29644.2,0,0,0,0,0,0,2019-05-10 16:14:55,2020-07-23 17:01:28,184976.5,8,83779.8,15646,34550.7,0,0,0,51000,2,2,2,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1384138.9,11761310.85,1384138.90046,11038042.15561,0,723268.79959,430452.5,489191.1,82479.71,61243.3,306136.6,544176.6,8305117.15,3238,3670,602,488,2813,4980,69897,"27070776000304",2017-12-23
45389,45389,36647,2020-07-06 14:27:20,2020-07-31 12:36:58,5247.93,4,5247.93,0,0,0,0,0,0,5247.93,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10187.59,10187.59,9120.0045,9120.0045,1067.59014,1067.59014,13874.0055,17180,20398,7283,0.2,0,0,76,38,61,36,1,0,0,"32943183000175",2020-04-06
22118,22118,14620,2020-07-31 11:58:44,2020-07-31 11:58:44,445.23,1,445.23,0,0,0,0,0,0,445.23,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.41,1530.99,0,1687.66,48.4152,-156.66762,29171,17565,14326,15410,12325,13860,217837,223,131,82,119,75,121,1663,"02205196000186",2018-08-31
11371,11369,39804,2020-06-22 13:53:00,2020-07-31 17:45:00,12980.19,9,7460.66,5519.53,0,0,0,0,0,7460.66,5519.53,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30230.67,613555.75,29634.71698,513478.95917,595.9695,100076.91278,80424.01,136465.75384,65112.98,40771,37673.8,63136,1963931.57,223,425,295,112,124,165,6476,"22988015000142",2017-03-23
44063,44063,22171,2020-07-31 17:39:17,2020-07-31 17:39:17,1166.8,1,1166.8,0,0,0,0,0,0,1166.8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45254.32,45254.32,37544.79429,37544.79429,7709.53426,7709.53426,20388,43902,25922,6755,24621,5745.01,0,133,208,118,57,113,27,0,"30576207000170",2020-02-26
12482,12482,11789,2020-06-01 17:40:39,2020-07-30 16:30:53,1272.72,2,577,0,695.72,0,0,0,0,577,0,695.72,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10739.31,10739.31,9738.1832,9738.1832,1001.13707,1001.13707,13253,8948.5,16495,16194,9021,11274,34442,75,61,67,101,66,86,271,"01446463000144",2019-09-25
41815,41815,11451,2020-07-30 15:25:20,2020-07-30 15:25:20,1452.51,1,1452.51,0,0,0,0,0,0,1452.51,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38686.33,38686.33,27619.18846,27619.18846,11067.15129,11067.15129,23238.8,27210,27858.45,16087.5,17414.81,8180.55,9967.71,221,186,200,127,138,87,90,"40159493000121",2020-01-14
44122,44122,11422,2020-07-30 14:59:22,2020-07-30 14:59:22,3590.13,1,3590.13,0,0,0,0,0,0,3590.13,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17379.11,33334.44,9232.275,15782.205,8146.844,17552.258,50821,25896.95,29415,16648,9938,0.02,0,296,136,136,122,67,2,0,"30765080000137",2020-03-10
49135,49135,9697,2020-07-30 14:32:31,2020-07-30 14:36:42,700.77,2,700.77,0,0,0,0,0,0,700.77,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.97,303.97,271.16,271.16,32.81487,32.81487,1050.6,0,0,0,0,0,0,8,0,0,0,0,0,0,"31185480000136",2020-07-28
44549,44549,50459,2020-04-22 14:37:07,2020-07-30 12:10:10,8841.07,15,3211,2784.72,0,2845.35,0,0,0,3211,2784.72,0,2845.35,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47367.28,47367.28,47259.4,47259.4,107.8841,107.8841,19601,9555,18699,18959,14417.7,0,0,44,25,36,47,35,0,0,"91814483000113",2020-03-19
20711,20711,25230,2020-03-02 17:24:47,2020-07-30 12:05:04,4283.91,6,3009.7,0,0,0,0,1274.21,0,3009.7,0,0,0,0,1274.21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41929.49,203504.95,41929.49,205683.1273,0,-2178.16917,89973,34260,9600,0,26510,52765.55,755138.13,519,175,44,0,158,250,4361,"24349734000149",2018-05-30
47031,47031,17169,2020-07-30 14:55:07,2020-07-30 14:55:07,697.31,1,697.31,0,0,0,0,0,0,697.31,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11316.1,11316.1,7804.97152,7804.97152,3511.1335,3511.1335,8170,419.6,0,0,0,0,0,59,7,0,0,0,0,0,"12948962000156",2020-07-06
38736,38736,50459,2020-03-30 13:04:50,2020-07-30 11:52:56,185738.6,34,63739.95,65151.43,8233.01,26141.12,22473.09,0,0,63739.95,65151.43,8233.01,26141.12,22473.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55314.26,55314.26,50340.64,50340.64,4973.62159,4973.62159,74187,81437,50022,38508,86059,45520.1,22303,162,175,76,79,143,69,32,"27429384000119",2019-10-24
30022,20545,11941,2020-02-14 18:53:01,2020-07-30 11:36:44,2562.31,5,889.83,0,568,364,0,740.48,0,889.83,0,568,364,0,740.48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.16,-3673.53,279.16,5824.6482,0,-9498.17508,3847.62,4450.5,3845.92,3205.8,2261,5039.9,53084.03,53,39,41,30,22,59,644,"00156775000150",2019-05-18
48097,48097,19500,2020-07-29 23:10:52,2020-07-29 23:10:52,586.4,1,586.4,0,0,0,0,0,0,586.4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16531.45,16531.45,13148.02069,13148.02069,3383.43681,3383.43681,33683,10565.7,0,0,0,0,0,218,62,0,0,0,0,0,"27770710000157",2020-06-25
47368,47368,49341,2020-07-29 16:52:21,2020-07-29 16:56:08,5779.64,2,5779.64,0,0,0,0,0,0,5779.64,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16272.37,16272.37,12058.64,12058.64,4213.73002,4213.73002,20792,7071.2,0,0,0,0,0,110,30,0,0,0,0,0,"35999306000188",2020-06-25
17047,16042,14844,2019-04-10 15:55:27,2020-07-29 16:25:36,138922.09,6,91465.8,0,0,0,0,0,47456.29,91465.8,0,0,0,0,0,47456.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1384138.9,11761310.85,1384138.90046,11038042.15561,0,723268.79959,430452.5,489191.1,82479.71,61243.3,306136.6,544176.6,8305117.15,3238,3670,602,488,2813,4980,69897,"27070776000304",2017-12-23
23252,14071,19240,2019-12-18 14:20:06,2020-07-30 12:23:13,7026.49,6,6396.64,0,0,0,0,0,629.85,6396.64,0,0,0,0,0,629.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.26,18.26,0,0,18.26974,18.27898,15374,8589,15129,4040,4150,850,64813.02,105,70,118,16,64,11,497,"02628003000108",2018-09-26
30151,30151,19130,2020-07-27 14:55:41,2020-07-29 15:39:50,749.95,2,749.95,0,0,0,0,0,0,749.95,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14399.41,14399.99,12328.16966,12328.16966,2071.2558,2071.84534,35883.37,30051.42,11770.51,13696.36,22691.29,29483.7,194191.56,379,381,105,109,282,401,2490,"05790039000173",2019-05-27
42897,42897,13933,2020-02-10 15:01:30,2020-07-29 12:35:41,4208.64,8,1589,1589,223,0,130,677.64,0,1589,1589,223,0,130,677.64,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97561.5,158814.61,97561.50062,158944.27726,0,-129.65463,63160,89982.27,53700.3,41514.92,90239.4,117302.04,13996.6,505,828,551,382,890,1136,135,"35659500000114",2020-01-30
20316,20316,28382,2018-10-01 13:33:11,2020-07-29 12:10:11,10031.49,22,857.18,448,0,0,833.02,408.79,7484.5,857.18,448,0,0,833.02,408.79,7484.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16835.2,16835.2,15393.87799,15393.87799,1441.3378,1441.3378,43908.55,34995,27316.1,5654.01,10485.09,11807,253069.26,410,313,198,46,93,82,2232,"05404506000180",2018-05-29
19373,19373,16245,2020-07-29 11:39:48,2020-07-29 11:39:48,975.9,1,975.9,0,0,0,0,0,0,975.9,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52935.1,86049.27,34338.7,67322.7402,18596.4041,18726.55669,28795,34899,33913,25497,6520,13495,307362.2,211,278,304,266,101,146,3018,"13696363000155",2018-04-26
19375,19373,14844,2020-07-29 11:35:58,2020-07-29 11:35:58,2200,1,2200,0,0,0,0,0,0,2200,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5938.76,86049.27,5908.29,67322.7402,30.47921,18726.55669,75775,66344,60495,39730,6850,0,836930.7,784,629,579,379,27,0,6938,"11768890000100",2018-06-08
38353,38353,12816,2020-04-09 16:37:11,2020-07-28 16:40:00,4760.04,5,3002.59,0,0,1757.45,0,0,0,3002.59,0,0,1757.45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,358,0,0,358.00059,358.00059,7413,12864,16079,9078,8891,4114.9,15358.99,70,95,165,76,95,55,172,"27837904000122",2019-09-20
14375,14375,14844,2020-03-26 12:03:01,2020-07-28 13:13:24,1282.53,2,756.23,0,0,0,526.3,0,0,756.23,0,0,0,526.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14642.46,14642.46,7908.9886,7908.9886,6733.48776,6733.48776,18444,16803,11746,11116,17520,8011,95531.9,129,137,68,78,162,80,960,"21755944000149",2018-12-28
48285,48285,50459,2020-07-18 18:03:20,2020-07-28 14:59:58,7916.69,6,7916.69,0,0,0,0,0,0,7916.69,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101851.18,101851.18,96470.29926,96470.29926,5380.8961,5380.8961,154634.76,0.6,0,0,0,0,0,532,1,0,0,0,0,0,"02831511000180",2020-07-05
11118,11118,381,2017-04-24 13:59:53,2020-07-28 15:01:21,24790.22,53,1996.21,0,0,0,0,195.09,22598.92,1996.21,0,0,0,0,195.09,22598.92,2020-07-20 12:49:46,2020-07-20 12:49:46,1872.58,1,1872.58,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,987.7,13778.25,987.7,10698.69,0,3079.56355,1148,0,0,4948,3360,6150,767971.07,11,0,0,31,14,42,3998,"22348018000111",2017-02-22
43250,18850,13933,2020-06-05 17:10:15,2020-07-28 13:25:50,665.15,4,299,366.15,0,0,0,0,0,299,366.15,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9092.73,130274.43,7948.75,113183.83508,1143.98046,17090.65051,14618.91,11765.52,13976.87,8012.24,6064.68,5326.76,0,96,120,94,68,50,28,0,"12245220000245",2020-02-21
18850,18850,13933,2020-06-03 14:52:31,2020-07-28 13:05:00,647.5,5,127,123.5,397,0,0,0,0,127,123.5,397,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20139.54,130274.43,14174.19,113183.83508,5965.35861,17090.65051,50065.94,51147.98,28758.11,26013.27,24348.32,2517.01,0,229,268,206,107,163,23,0,"12245220000164",2020-03-03
18850,18850,16063,2020-06-03 14:56:03,2020-07-28 13:00:32,3765.24,4,1545.76,1161.77,1057.71,0,0,0,0,1545.76,1161.77,1057.71,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20139.54,130274.43,14174.19,113183.83508,5965.35861,17090.65051,50065.94,51147.98,28758.11,26013.27,24348.32,2517.01,0,229,268,206,107,163,23,0,"12245220000164",2020-03-03
49193,19373,14387,2020-07-28 11:56:32,2020-07-28 11:56:32,4011,1,4011,0,0,0,0,0,0,4011,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24499.07,86049.27,24443.2802,67322.7402,55.79522,18726.55669,76549,0,0,0,0,0,0,517,0,0,0,0,0,0,"07725370000135",2020-07-14
19376,19373,14387,2020-07-28 11:51:16,2020-07-28 11:51:16,1233,1,1233,0,0,0,0,0,0,1233,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2676.34,86049.27,2632.47,67322.7402,43.87894,18726.55669,58714,48366,41976,29182,15475,36420,466656.07,437,362,341,223,150,343,3993,"14231652000141",2018-08-15
43255,18850,13933,2020-07-06 14:29:42,2020-07-28 13:52:40,236,2,236,0,0,0,0,0,0,236,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21022.07,130274.43,15000.00772,113183.83508,6022.07985,17090.65051,33853.9,30486.51,33113.02,39735.6,20619.87,19044.86,0,140,189,208,181,178,117,0,"20420172000121",2020-02-11
43253,18850,13933,2020-06-05 17:33:58,2020-07-28 13:32:26,2023.53,4,416.71,1606.82,0,0,0,0,0,416.71,1606.82,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32575.51,130274.43,31980.12872,113183.83508,595.39024,17090.65051,24386.51,21663,31637.98,12531,5040,3333.11,0,154,102,161,73,35,9,0,"12245220000598",2020-02-12
